measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
median,140115_0_3NS,1389781153,454,0,0,null,545792,484335,10060,7204,0,7,1389752332,2234.375,100,2154,0,0,282,0,206739,284902,0,-1,3094,5296.875,100,0,451886,0,91964,-1,2722,0,0,2154,0,407844,1,"1.12",846,11,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,30,945,
average,140101_0_3NB,1388571283,658.5,0,0,1,833419.5,794585,10208,7632,0,7.5,1388542429,3523.4375,100,3203,0,0,284,0,259812.5,313776,0,-1,3870,6234.375,99.5,0,438669.5,0,392769,-1,5953,0,0,3203,0,397991,1,1.12,1115,11.5,14,12,0,1,0,2,91,81,100,100,28,100,100,100,100,-1,5,28,1161,
standardDeviation,140101_0_3NB,1388571283,194,0,0,null,29,22005,20,391,0,0,42,117,0,20,0,0,0,0,8849,17803,0,0,304,406,0,0,29,0,0,0,306,0,0,20,0,0,0,0,318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,333,
median,140101_0_3NB,1388571283,853,0,0,null,833449,772580,10188,7241,0,7,1388542471,3640.625,100,3183,0,0,284,0,250963,331579,0,-1,4174,6640.625,99,0,438699,0,392769,-1,6259,0,0,3183,0,397991,1,"1.12",1433,11,14,12,0,1,0,3,91,81,100,100,28,100,100,100,100,-1,5,28,1494,
average,131215_0_3MG,1387102519,578.33333333333,0,0,2,530210.66666667,440570,10373.333333333,6835,0,7.3333333333333,1387073697,2317.7083333333,97,2249.6666666667,0,0,283,0,151894.33333333,273038.66666667,0,-1,4282.6666666667,4421.875,69.333333333333,0,436192.66666667,0,91964,-1,3499.6666666667,0,0,2249.6666666667,0,394251,1,1.12,1024.3333333333,10.666666666667,14.333333333333,12,0,1.3333333333333,0,2,91,81,100,100,28.666666666667,100,100,100,100,-1,5,28.666666666667,1187.6666666667,
standardDeviation,131215_0_3MG,1387102519,67,0,0,null,168,102845,321,1596,0,0,10,483,0,536,0,0,0,0,35821,46683,0,0,863,426,4,0,61,0,0,0,541,0,0,536,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
median,131215_0_3MG,1387102519,674,0,0,null,530109,513310,10157,7964,0,7,1387073697,2218.75,97,2229,0,0,283,0,195395,330102,0,-1,3387,3843.75,71,0,436167,0,91964,-1,2865,0,0,2229,0,394251,1,"1.12",1009,12,14,12,0,1,0,2,91,81,100,100,28,100,100,100,100,-1,5,28,1079,
average,131115_0_3J6,1384510142,652.66666666667,0,0,3,514917,440807.66666667,9924.3333333333,7039.6666666667,0,7.6666666666667,1384481322.6667,0,0,2846.3333333333,0,0,284,0,163944,219190.66666667,0,-1,3820.6666666667,0,0,0,420979,0,91964,-1,3912.3333333333,0,0,2846.3333333333,0,380465,1,1.12,1307.3333333333,11,14,12,0,1,0,2,91,81,100,100,28,100,100,100,100,-1,5,31,2370.3333333333,
standardDeviation,131115_0_3J6,1384510142,86,0,0,null,28,81061,14,1216,0,0,8,0,0,846,0,0,0,0,15352,50119,0,0,346,0,0,0,28,0,0,0,266,0,0,846,0,0,0,0,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1024,
median,131115_0_3J6,1384510142,556,0,0,null,514893,498095,9917,7900,0,8,1384481333,0,0,2893,0,0,284,0,161055,213134,0,-1,3753,0,0,0,420955,0,91964,-1,3750,0,0,2893,0,380465,1,"1.12",1256,12,14,12,0,1,0,3,91,81,100,100,28,100,100,100,100,-1,5,28,1840,
average,131101_0_3GX,1383300391,650.33333333333,0,0,3,507995.66666667,436905,9850,6998.6666666667,0,7.3333333333333,1383275171.3333,0,0,2627,0,0,286,0,168951.33333333,224722,0,-1,3679.6666666667,0,0,0,412574.66666667,0,93479,-1,3842.3333333333,0,0,2627,0,371407.33333333,1,1.12,1334,11,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,29,1381.6666666667,
standardDeviation,131101_0_3GX,1383300391,51,0,0,null,134,76708,11,1188,0,0,8,0,0,496,0,0,0,0,14942,17008,0,0,294,0,0,0,134,0,0,0,351,0,0,496,0,143,0,0,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,
median,131101_0_3GX,1383300391,615,0,0,null,508057,491270,9842,7839,0,7,1383275182,0,0,2786,0,0,286,0,162838,226287,0,-1,3735,0,0,0,412636,0,93479,-1,3875,0,0,2786,0,371509,1,"1.12",1232,12,14,12,0,1,0,3,66,81,100,100,28,100,100,100,100,-1,5,28,1285,
average,131015_0_3FW,1381831882,455,0,0,2,516749.5,493859.5,10160.5,8192,0,8,1381806669,0,0,2463,0,0,295,0,196707.5,291608.5,0,-1,3389.5,0,0,0,416980.5,0,97713,-1,3538.5,0,0,2463,0,376921,1,1.12,1245.5,12.5,14.5,12,0,1.5,0,2.5,66,81,100,100,29,100,100,100,100,-1,5,32,1974.5,
standardDeviation,131015_0_3FW,1381831882,9,0,0,null,5726,345,313,323,0,0,4,0,0,803,0,0,1,0,64660,115479,0,0,944,0,0,0,231,0,5381,0,730,0,0,803,0,168,0,0,566,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1269,
median,131015_0_3FW,1381831882,446,0,0,null,522476,494205,10474,8515,0,8,1381806665,0,0,1660,0,0,296,0,261368,407088,0,-1,2445,0,0,0,417212,0,103094,-1,2808,0,0,1660,0,377089,1,"1.12",679,13,15,12,0,2,0,2,66,81,100,100,30,100,100,100,100,-1,5,27,705,
average,131001_0_3GK,1380621935,542.66666666667,0,0,3,461173,241646.33333333,10023,4720.3333333333,0,6.3333333333333,1380572031.3333,0,0,1350.3333333333,0,0,291,0,190844,304190.66666667,0,-1,3285,0,0,0,354256,27972,104547,-1,2886,0,0,1350.3333333333,0,320045.66666667,1,1.12,982,7.6666666666667,14.333333333333,12,0,1.3333333333333,0,2,81,81,100,73,28.666666666667,100,100,100,100,0,5,28.333333333333,790,
standardDeviation,131001_0_3GK,1380621935,38,0,0,null,911,6610,332,194,0,0,6,0,0,83,0,0,0,0,62488,42610,0,0,985,0,0,0,943,0,0,0,216,0,0,83,0,846,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,
median,131001_0_3GK,1380621935,492,0,0,null,460862,232476,10493,4445,0,6,1380572040,0,0,1402,0,0,291,0,111373,255468,0,-1,4630,0,0,0,353793,27972,104547,-1,2706,0,0,1402,0,319568,1,"1.12",1001,7,15,12,0,2,0,3,81,81,100,73,30,100,100,100,100,0,5,30,618,
average,130915_0_3EK,1379239663,308,0,0,3,408984.66666667,196859,8552.3333333333,3698.3333333333,0,5,1379189432,0,0,1156.6666666667,215.33333333333,215.33333333333,289,0,216385,238570.33333333,0,-1,2271,0,0,0,347548.33333333,0,59839,-1,2418,337,336.66666666667,1156.6666666667,0,313743,1,1.12,900.33333333333,6.3333333333333,12.666666666667,11,0,1,0,2,70,80,100,100,29.666666666667,100,100,100,100,-1,5,28.333333333333,924.66666666667,
standardDeviation,130915_0_3EK,1379239663,139,0,0,null,492,5559,353,269,0,1,6,0,0,173,304,304,0,0,39063,43332,0,0,471,0,0,0,33,0,0,0,353,476,476,173,0,3,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,
median,130915_0_3EK,1379239663,420,0,0,null,409291,201281,8789,4053,0,6,1379189440,0,0,1103,0,0,289,0,250025,294701,0,-1,2057,0,0,0,347510,0,59839,-1,2051,0,0,1103,0,313739,1,"1.12",819,7,13,11,0,1,0,3,70,80,100,100,30,100,100,100,100,-1,5,28,859,
average,130901_0_3D5,1378029825,358.33333333333,0,0,3,423164.66666667,312307,8776.3333333333,5511.6666666667,0,4.6666666666667,1377979587.3333,0,0,1863.3333333333,204.33333333333,204.33333333333,289,0,183177.66666667,236960.66666667,0,-1,2787.3333333333,0,0,0,353996.33333333,0,67495,-1,2977.6666666667,286.66666666667,286.33333333333,1863.3333333333,0,320198.66666667,1,1.12,794,8.6666666666667,13,11,0,1.3333333333333,0,2,70,80,100,100,30.333333333333,100,100,100,100,-1,5,28.333333333333,818.66666666667,
standardDeviation,130901_0_3D5,1378029825,142,0,0,null,573,80803,607,1498,0,2,8,0,0,804,288,288,0,0,41309,64926,0,0,646,0,0,0,34,0,0,0,427,405,404,804,0,1,0,0,127,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,122,
median,130901_0_3D5,1378029825,490,0,0,null,423680,369445,9511,6571,0,5,1377979597,0,0,2108,0,0,289,0,174857,228334,0,-1,2913,0,0,0,354015,0,67495,-1,2975,0,0,2108,0,320200,1,"1.12",942,10,14,11,0,2,0,3,70,80,100,100,32,100,100,100,100,-1,5,29,965,
average,130815_0_3CD,1376561437,611.33333333333,0,0,2,405984.33333333,247867.33333333,8298.3333333333,4447.6666666667,0,3.6666666666667,1376536223.3333,0,0,1318,651.33333333333,651.33333333333,288,0,225857.66666667,374404.66666667,0,-1,2438,0,0,0,337288,0,67495,-1,1868.3333333333,811,810,1318,0,303548.66666667,1,1.12,919.33333333333,7.3333333333333,12.333333333333,11,0,1,0,2,63,80,100,100,29.333333333333,100,100,100,100,-1,6,73.666666666667,929.33333333333,
standardDeviation,130815_0_3CD,1376561437,261,0,0,null,276,73891,363,1492,0,1,6,0,0,442,558,558,0,0,28524,52139,0,0,491,0,0,0,234,0,0,0,190,675,675,442,0,216,0,0,234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,233,
median,130815_0_3CD,1376561437,914,0,0,null,405629,195599,8067,3392,0,3,1376536223,0,0,1406,1365,1365,288,0,191244,397558,0,-1,3035,0,0,0,337213,0,67495,-1,2128,1654,1653,1406,0,303457,1,"1.12",1175,6,12,11,0,1,0,2,63,80,100,100,29,100,100,100,100,-1,6,124,1187,
average,130801_3_3D1X,1375413671,463.33333333333,0,0,3,445560.33333333,343073.66666667,8124,4895,0,4.6666666666667,1375388455.3333,0,0,1763.3333333333,857,857,290,0,180587,262600.33333333,0,-1,3071,0,0,0,326112.33333333,44104,118678,-1,2020,1813,1812,1763.3333333333,0,292217.66666667,1,1.12,862.33333333333,7.6666666666667,12,11,0,1,0,2,81,80,100,62,29,100,100,100,100,0,5,179.66666666667,581.66666666667,
standardDeviation,130801_3_3D1X,1375413671,10,0,0,null,67,68223,13,1030,0,0,6,0,0,166,20,20,0,0,39252,34033,0,0,651,0,0,0,67,0,0,0,100,163,163,166,0,58,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,
median,130801_3_3D1X,1375413671,473,0,0,null,445579,391642,8124,5915,0,5,1375388464,0,0,1748,848,848,290,0,219281,307170,0,-1,2505,0,0,0,326131,44104,118678,-1,1908,1800,1799,1748,0,292259,1,"1.12",830,9,12,11,0,1,0,3,81,80,100,62,29,100,100,100,100,0,5,181,582,
average,130715_0_3EG,1373882708,209,0,0,3,406721.66666667,281858,8617.6666666667,4209,0,2.3333333333333,1373850576,0,0,901.33333333333,635,635,290,0,201571.33333333,418077.66666667,0,-1,2236,0,0,0,301273.66666667,40231,104367,-1,2173.6666666667,952.66666666667,950.33333333333,901.33333333333,0,267501.66666667,1,1.12,677.33333333333,7,13,12,0,1,0,2,81,81,100,61,26,100,100,100,100,0,5,33,690.33333333333,
standardDeviation,130715_0_3EG,1373882708,49,0,0,null,33,32,0,0,0,0,6,0,0,129,10,10,0,0,13951,64353,0,0,90,0,0,0,33,0,0,0,107,140,140,129,0,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,
median,130715_0_3EG,1373882708,273,0,0,null,406753,281895,8617,4209,0,3,1373850584,0,0,901,621,621,290,0,221301,448877,0,-1,2111,0,0,0,301305,40231,104367,-1,2115,957,951,901,0,267496,1,"1.12",676,7,13,12,0,1,0,3,81,81,100,61,26,100,100,100,100,0,5,33,696,
average,130701_0_3DC,1372672989,537,0,0,1,372966.66666667,244516,7859,3331.3333333333,0,4,1372640863,0,0,1387.3333333333,0,0,288,0,147801.66666667,290288.33333333,0,-1,3094.3333333333,0,0,0,304217.66666667,0,68006,-1,2658.3333333333,0,0,1387.3333333333,0,267552.66666667,1,1.12,986,5.6666666666667,12,11,0,1,0,2,70,80,100,100,29,100,100,100,100,-1,6,143.66666666667,651,
standardDeviation,130701_0_3DC,1372672989,51,0,0,null,185,5768,13,193,0,0,6,0,0,143,0,0,0,0,16813,25329,0,0,268,0,0,0,185,0,0,0,161,0,0,143,0,152,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,
median,130701_0_3DC,1372672989,513,0,0,null,372852,248614,7875,3468,0,4,1372640855,0,0,1346,0,0,288,0,126347,298456,0,-1,3464,0,0,0,304103,0,68006,-1,2887,0,0,1346,0,267442,1,"1.12",936,6,12,11,0,1,0,1,70,80,100,100,29,100,100,100,100,-1,6,117,620,
average,130615_0_3C5,1371290689,187.66666666667,0,0,1,380114.33333333,244466.66666667,7898,3476,0,3.6666666666667,1371240724.6667,0,0,947,0,0,287,0,175850,324919.33333333,0,-1,2359.3333333333,0,0,0,311365.33333333,0,68006,-1,2188.6666666667,0,0,947,0,274684.66666667,1,1.12,623,6,12,11,0,1,0,2,70,80,100,100,29,100,100,100,100,-1,5,32.666666666667,505,
standardDeviation,130615_0_3C5,1371290689,25,0,0,null,150,16,6,0,0,0,6,0,0,54,0,0,0,0,11922,31492,0,0,155,0,0,0,150,0,0,0,23,0,0,54,0,167,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,148,
median,130615_0_3C5,1371290689,162,0,0,null,379901,244490,7906,3476,0,3,1371240716,0,0,931,0,0,287,0,190235,317932,0,-1,2159,0,0,0,311152,0,68006,-1,2200,0,0,931,0,274448,1,"1.12",682,6,12,11,0,1,0,1,70,80,100,100,29,100,100,100,100,-1,5,28,309,
average,130601_0_3B2,1370080820,283,0,0,2,376065.66666667,180653.66666667,7838.6666666667,2932.6666666667,0,3.6666666666667,1370055599.3333,0,0,880.66666666667,0,0,287,0,136949.33333333,298549,0,-1,3116,0,0,0,306240.66666667,0,69084,-1,2891,0,0,880.66666666667,0,270015.66666667,1,1.12,705.66666666667,5,12,11,0,1,0,2,63,80,100,100,29,100,100,100,100,-1,6,50.333333333333,744.33333333333,
standardDeviation,130601_0_3B2,1370080820,85,0,0,null,383,87635,7,504,0,0,8,0,0,166,0,0,0,0,22511,139419,0,0,499,0,0,0,383,0,0,0,450,0,0,166,0,397,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,
median,130601_0_3B2,1370080820,404,0,0,null,375724,56921,7829,2260,0,4,1370055598,0,0,822,0,0,287,0,151257,136174,0,-1,2888,0,0,0,305899,0,69084,-1,2588,0,0,822,0,269680,1,"1.12",714,4,12,11,0,1,0,2,63,80,100,100,29,100,100,100,100,-1,6,49,750,
average,130515_0_3A7,1368612207,222.33333333333,0,0,2,365967.66666667,183063,7802.6666666667,3068.6666666667,0,3.6666666666667,1368562790.3333,0,0,1018.3333333333,0,0,286,0,156944.66666667,253152,0,-1,2604.6666666667,0,0,0,296140.66666667,0,69084,-1,2385.6666666667,0,0,1018.3333333333,0,260661.66666667,1,1.12,820,5.3333333333333,12,11,0,1,0,2,70,80,100,100,29,100,100,100,100,-1,5,53.333333333333,849,
standardDeviation,130515_0_3A7,1368612207,64,0,0,null,138,89726,8,571,0,0,6,0,0,213,0,0,0,0,23634,150328,0,0,379,0,0,0,138,0,0,0,279,0,0,213,0,169,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,218,
median,130515_0_3A7,1368612207,217,0,0,null,366160,246457,7799,3473,0,4,1368562790,0,0,1147,0,0,286,0,133488,265007,0,-1,2960,0,0,0,296333,0,69084,-1,2441,0,0,1147,0,260901,1,"1.12",712,6,12,11,0,1,0,2,70,80,100,100,29,100,100,100,100,-1,5,42,773,
average,130501_0_38V,1367402338,173.33333333333,0,0,3,363859.33333333,266684,7968,4381.3333333333,0,3.6666666666667,1367377121,0,0,1386.6666666667,0,0,291.66666666667,0,165979,245519.33333333,0,-1,2389,0,0,0,293903.66666667,0,69084,-1,2140,0,0,1386.6666666667,0,258738,1,1.12,707.33333333333,7.3333333333333,12.333333333333,11,0,1.3333333333333,0,2,63,80,100,100,29.333333333333,100,100,100,100,-1,5,32,668.66666666667,
standardDeviation,130501_0_38V,1367402338,31,0,0,null,178,29445,302,881,0,0,7,0,0,472,0,0,0,0,16622,65372,0,0,218,0,0,0,136,0,0,0,178,0,0,472,0,152,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,151,
median,130501_0_38V,1367402338,156,0,0,null,363649,245759,7760,3472,0,4,1367377130,0,0,1127,0,0,291,0,143056,253098,0,-1,2698,0,0,0,293728,0,69084,-1,2391,0,0,1127,0,258522,1,"1.12",861,6,12,11,0,1,0,3,63,80,100,100,29,100,100,100,100,-1,5,29,871,
average,130415_0_375,1366020156,300.33333333333,0,0,2,348981.66666667,261311.66666667,10881.333333333,4629.6666666667,0,3,1365988029,0,0,1037.3333333333,0,0,296,0,163309.66666667,359212.66666667,0,-1,2486.3333333333,0,0,0,269627.66666667,2677,77261,-1,4523.6666666667,0,0,1037.3333333333,0,234065.33333333,1,1.12,759.66666666667,7.6666666666667,17,16,0,1,0,2,86,86,100,96,20,100,100,100,100,-1,6,45.666666666667,658.66666666667,
standardDeviation,130415_0_375,1366020156,28,0,0,null,134,5820,12,188,0,0,10,0,0,120,0,0,0,0,25341,37174,0,0,341,0,0,0,134,0,0,0,336,0,0,120,0,114,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,172,
median,130415_0_375,1366020156,285,0,0,null,349083,265434,10894,4774,0,3,1365988029,0,0,993,0,0,296,0,153510,374906,0,-1,2559,0,0,0,269729,2677,77261,-1,4590,0,0,993,0,234146,1,"1.12",735,8,17,16,0,1,0,2,86,86,100,96,20,100,100,100,100,-1,6,38,415,
average,130401_0_37C,1364810319,160,0,0,3,318556.33333333,247878.66666667,7231,3052.3333333333,0,3,1364778254,0,0,560.33333333333,0,0,292.66666666667,0,208271,639537.66666667,0,-1,1770.3333333333,0,0,0,259792.33333333,0,58202,-1,1740.6666666667,0,0,560.33333333333,0,227081.66666667,1,1.12,434.33333333333,5.3333333333333,11.333333333333,10,0,1.3333333333333,0,2,77,77,100,100,31.666666666667,100,100,100,100,-1,5,35,379.33333333333,
standardDeviation,130401_0_37C,1364810319,3,0,0,null,161,107,293,294,0,0,4,0,0,75,0,0,0,0,43293,114901,0,0,388,0,0,0,69,0,0,0,399,0,0,75,0,53,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,
median,130401_0_37C,1364810319,159,0,0,null,318460,247819,7053,2844,0,3,1364778260,0,0,555,0,0,292,0,147503,625805,0,-1,2318,0,0,0,259762,0,58202,-1,2306,0,0,555,0,227045,1,"1.12",436,5,11,10,0,1,0,3,77,77,100,100,31,100,100,100,100,-1,5,31,378,
average,130315_0_37J,1363341881,311.66666666667,0,0,3,317372,243328.33333333,7589.6666666667,3340.6666666667,0,4,1363291861.3333,0,0,1125,0,0,293,0,118125.33333333,308900.66666667,0,-1,3001.3333333333,0,0,0,257047,0,59565,-1,2835,0,0,1125,0,224464,1,1.12,813.33333333333,5.6666666666667,12,11,0,1,0,2,70,80,100,100,29,100,100,100,100,-1,5,98.333333333333,668,
standardDeviation,130315_0_37J,1363341881,21,0,0,null,28,5773,13,188,0,0,7,0,0,130,0,0,0,0,3886,54928,0,0,71,0,0,0,28,0,0,0,49,0,0,130,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,202,
median,130315_0_37J,1363341881,341,0,0,null,317363,247421,7571,3462,0,4,1363291871,0,0,1050,0,0,293,0,122533,348971,0,-1,2931,0,0,0,257038,0,59565,-1,2818,0,0,1050,0,224464,1,"1.12",812,6,12,11,0,1,0,3,70,80,100,100,29,100,100,100,100,-1,5,102,675,
average,130301_0_36W,1362132336,276,0,0,1,314073.66666667,237147.66666667,7541.3333333333,3209.6666666667,0,4,1362103494,0,0,1146.3333333333,0,0,293,0,99171.333333333,301585,0,-1,3500.3333333333,0,0,0,255096.66666667,0,59565,-1,3263.3333333333,0,0,1146.3333333333,0,221002.66666667,1,1.12,979.33333333333,5.3333333333333,12,11,0,1,0,2,66,77,100,100,33,100,100,100,100,-1,6,97,675.66666666667,
standardDeviation,130301_0_36W,1362132336,30,0,0,null,75,5794,6,193,0,0,7,0,0,278,0,0,0,0,13472,100043,0,0,421,0,0,0,75,0,0,0,492,0,0,278,0,69,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,137,
median,130301_0_36W,1362132336,248,0,0,null,314132,233055,7547,3073,0,3,1362103485,0,0,1178,0,0,293,0,84421,250596,0,-1,3969,0,0,0,255155,0,59565,-1,3843,0,0,1178,0,221052,1,"1.12",955,5,12,11,0,1,0,1,66,77,100,100,33,100,100,100,100,-1,6,73,488,
average,130215_0_6PK,1360951642,232,0,0,1,314563.5,224119.5,7669.5,3278,0,4,1360922797,0,0,847.5,0,0,294,0,105954,367110,0,-1,3407.5,0,0,4464,272952.5,0,46594,-1,3225,0,0,847.5,0,234551,1,1.12,626,5.5,12,11,0,1,0,2,71,78.5,100,100,31,100,98,100,100,-1,5,63.5,552.5,
standardDeviation,130215_0_6PK,1360951642,4,0,0,null,96,6147,7,205,0,0,38,0,0,68,0,0,0,0,27013,28483,0,0,806,0,0,0,96,0,0,0,880,0,0,68,0,92,0,0,108,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,11,103,
median,130215_0_6PK,1360951642,228,0,0,null,314660,217972,7677,3073,0,4,1360922759,0,0,779,0,0,294,0,78941,395593,0,-1,4214,0,0,4464,273049,0,46594,-1,4105,0,0,779,0,234643,1,"1.12",734,5,12,11,0,1,0,1,72,80,100,100,29,100,98,100,100,-1,5,52,656,
average,130201_0_6EG,1359695328,284.66666666667,0,0,1,314169.33333333,225644.33333333,6949.3333333333,2693.6666666667,0,3,1359666487.6667,0,0,982.66666666667,0,0,295,0,104806,366156.66666667,0,-1,3346,0,0,4464,272556,0,46263,-1,3060.3333333333,0,0,982.66666666667,0,234878.33333333,1,1.12,640.33333333333,4.6666666666667,11,10,0,1,0,2,88,77,100,100,31,100,98,100,100,-1,6,80,596,
standardDeviation,130201_0_6EG,1359695328,33,0,0,null,57,5803,12,188,0,0,6,0,0,304,0,0,0,0,14772,109716,0,0,487,0,0,0,57,0,0,0,502,0,0,304,0,52,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,170,
median,130201_0_6EG,1359695328,252,0,0,null,314249,229753,6937,2815,0,4,1359666480,0,0,792,0,0,295,0,121378,425468,0,-1,2841,0,0,4464,272636,0,46263,-1,2439,0,0,792,0,234951,1,"1.12",539,5,11,10,0,1,0,1,88,77,100,100,31,100,98,100,100,-1,6,78,453,
average,130115_0_340,1358244729,241.33333333333,0,0,1,314036.66666667,212226.66666667,8211.3333333333,3041.6666666667,0,3.6666666666667,1358215908.6667,0,0,687.66666666667,0,0,294,0,104326.66666667,478086,0,-1,3330.3333333333,0,0,4464,266880.66666667,0,51817,-1,2244.6666666667,0,0,687.66666666667,0,228644,1,1.12,517.33333333333,5,13,12,0,1,0,2,75,81,100,100,26,100,98,100,100,-1,5,56.333333333333,417.66666666667,
standardDeviation,130115_0_340,1358244729,1,0,0,null,15,15,9,10,0,0,7,0,0,30,0,0,0,0,17093,36149,0,0,484,0,0,0,15,0,0,0,51,0,0,30,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,
median,130115_0_340,1358244729,240,0,0,null,314057,212247,8214,3057,0,4,1358215899,0,0,708,0,0,294,0,85995,453519,0,-1,3892,0,0,4464,266901,0,51817,-1,2273,0,0,708,0,228644,1,"1.12",543,5,13,12,0,1,0,1,75,81,100,100,26,100,98,100,100,-1,5,58,483,
average,130105_0_32Y,1357378821,72.333333333333,0,0,1,305751,53541,7569.6666666667,2670,0,4,1357349961.3333,0,0,261.66666666667,0,0,294,0,359861.66666667,283478.66666667,0,-1,956.66666666667,0,0,4464,260415,0,50307,-1,856,0,0,261.66666666667,0,222201,1,1.12,305,5,12,11,0,1,0,2,90,80,100,100,29,100,98,100,100,-1,5,2,124.33333333333,
standardDeviation,130105_0_32Y,1357378821,12,0,0,null,30,30,9,0,0,0,6,0,0,21,0,0,0,0,67499,13963,0,0,197,0,0,0,30,0,0,0,133,0,0,21,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,
median,130105_0_32Y,1357378821,63,0,0,null,305717,53507,7567,2670,0,4,1357349953,0,0,252,0,0,294,0,385034,283105,0,-1,857,0,0,4464,260381,0,50307,-1,781,0,0,252,0,222201,1,"1.12",295,5,12,11,0,1,0,1,90,80,100,100,29,100,98,100,100,-1,5,1,77,
average,121215_0_31J,1355564993,258.33333333333,0,0,2,309904.33333333,155709,7824,3020.3333333333,0,4,1355536153.6667,0,0,760.66666666667,0,0,294.66666666667,0,118839.33333333,346723,0,-1,2876.3333333333,0,0,4464,259218.33333333,0,54244,-1,2444,0,0,760.66666666667,0,222184,1,1.12,617,5,12.333333333333,11,0,1.3333333333333,0,2,81,80,100,100,29.333333333333,100,98,100,100,-1,6,75,453,
standardDeviation,121215_0_31J,1355564993,3,0,0,null,176,80305,297,583,0,0,7,0,0,94,0,0,0,0,7521,203947,0,0,162,0,0,0,83,0,0,0,194,0,0,94,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,
median,121215_0_31J,1355564993,263,0,0,null,310154,212683,8244,3704,0,4,1355536154,0,0,769,0,0,296,0,116599,420322,0,-1,2923,0,0,4464,259336,0,54244,-1,2311,0,0,769,0,222184,1,"1.12",625,6,13,11,0,2,0,2,81,80,100,100,30,100,98,100,100,-1,6,76,503,
average,121201_0_30V,1354356564,247.33333333333,0,0,2,289286.33333333,203887.66666667,7738,3270.3333333333,0,4.3333333333333,1354327748,0,0,613.33333333333,0,0,292.66666666667,0,120791.66666667,559410.33333333,0,-1,2699.3333333333,0,0,4464,239387.33333333,0,53454,-1,2093.6666666667,0,0,613.33333333333,0,202246.66666667,1,1.12,514.66666666667,5.3333333333333,12.333333333333,11,0,1.3333333333333,0,2,81,80,100,100,29.333333333333,100,98,100,100,-1,6,67,391,
standardDeviation,121201_0_30V,1354356564,2,0,0,null,359,105,281,294,0,0,8,0,0,21,0,0,0,0,17468,35451,0,0,392,0,0,0,302,0,0,0,31,0,0,21,0,287,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
