measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
standardDeviation,151001_0_4WH,1443699410,302,0,0,null,213,56024,19,1911,0,0,8,74,0,97,0,0,0,0,23892,21406,0,0,671,191,7,0,213,0,0,0,534,0,0,97,0,58,0,0,308,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,396,
median,151001_0_4WH,1443699410,534,0,0,null,367520,367210,9999,8442,0,7,1443699378,2437.5,100,2317,0,0,276,0,179716,205950,0,-1,2579,4500,95,0,318583,0,45492,-1,2678,0,0,2317,0,259917,1,"1.12",1040,13,14,12,0,1,0,1,66,100,100,100,28,100,100,100,100,-1,5,34,1146,
average,150915_0_4VB,1442315081,711.66666666667,0,0,3,381331.33333333,300600,10441,5944.6666666667,0,8.3333333333333,1442315062,1906.25,100,1619.3333333333,0,0,282,0,161198,340090.33333333,0,-1,3234.6666666667,4661.4583333333,84.333333333333,0,331993.66666667,0,45605,-1,2584.3333333333,0,0,1619.3333333333,0,267224,1,1.12,1010,10,15.333333333333,13,0,1.3333333333333,0,2,61,100,100,100,26.666666666667,100,100,100,100,-1,5,27.666666666667,1055,
standardDeviation,150915_0_4VB,1442315081,184,0,0,null,392,19903,348,1088,0,0,8,367,0,101,0,0,0,0,37414,43141,0,0,508,559,2,0,293,0,0,0,333,0,0,101,0,95,0,0,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,
median,150915_0_4VB,1442315081,477,0,0,null,381796,328747,10932,7484,0,9,1442315072,2406.25,100,1650,0,0,282,0,109806,280261,0,-1,3954,5453.125,81,0,332277,0,45605,-1,2171,0,0,1650,0,267147,1,"1.12",690,12,16,13,0,2,0,3,61,100,100,100,28,100,100,100,100,-1,5,28,780,
average,150901_0_4T5,1441104173,1282.3333333333,0,0,2,382512,302175,9673.3333333333,5902.6666666667,0,7.6666666666667,1441104145.6667,3026.0416666667,100,2781,0,0,290,0,108304,208004.33333333,0,-1,5034.6666666667,7322.9166666667,100,0,333129.66666667,0,47165,-1,4114.3333333333,0,0,2781,0,269859.66666667,1,1.12,1964,10,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,46.666666666667,2081.3333333333,
standardDeviation,150901_0_4T5,1441104173,334,0,0,null,192,21082,8,1088,0,0,11,654,0,533,0,0,0,0,24657,37071,0,0,902,1028,0,0,192,0,0,0,315,0,0,533,0,68,0,0,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,475,
median,150901_0_4T5,1441104173,1183,0,0,null,382259,287080,9685,5133,0,8,1441104144,3375,100,2940,0,0,290,0,74820,163392,0,-1,6292,8734.375,100,0,332876,0,47165,-1,4485,0,0,2940,0,269855,1,"1.12",2311,9,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,41,2472,
average,150815_0_4NB,1439635333,1046,0,0,1,377765.33333333,284352,9418,5671,0,8,1439635313.3333,2567.7083333333,92,2526,0,0,289,0,155111.33333333,272073,0,-1,3771.6666666667,3875,62.666666666667,0,328384.33333333,0,47165,-1,3448.6666666667,0,0,2526,0,264676.66666667,1,1.12,1690,9.6666666666667,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,45.333333333333,1828,
standardDeviation,150815_0_4NB,1439635333,329,0,0,null,27,36385,13,1143,0,0,8,1141,7,1084,0,0,0,0,55416,134600,0,0,1074,1262,11,0,27,0,0,0,1110,0,0,1084,0,15,0,0,683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,751,
